index,name,minutes,n_steps,steps,ingredients,n_ingredients
0,apple pie,43200,2,"[""mix ingredence together except everclear and pour in to a ceramic jug that light will not penetrate close with cork or lid put jug in a cool dark place for 1 month"", ""after 1 month shake up mixture and strain with cloth add everclear and serve cold""]","[""apple juice"", ""raw honey"", ""whole cloves"", ""everclear alcohol"", ""ground cinnamon"", ""cheesecloth""]",6
1,bread pudding,90,9,"[""mix together stale bread pieces , hot milk and butter"", ""set aside until cool"", ""heat oven to 350"", ""beat eggs well , add sugar and milk and stir"", ""stir in spices if desired"", ""mix cold bread mixture with egg mixture"", ""pour into buttered casserole"", ""bake 30 minutes until pudding has set and is turning golden brown"", ""serve warm""]","[""bread"", ""milk"", ""butter"", ""eggs"", ""sugar"", ""nutmeg"", ""cinnamon""]",7
2,caesar salad,15,5,"[""mince and mash the garlic with the anchovies to form a paste and , in a bowl , whisk together paste , yolks , vinegar , mustard , worcestershire sauce , salt and lemon juice"", ""add oil in a stream , whisking , until it is emulsified"", ""toss romaine with parmesan and croutons in a bowl"", ""add dressing and toss well to coat"", ""serve immediately""]","[""garlic"", ""anchovy fillets"", ""egg yolks"", ""white wine vinegar"", ""red wine vinegar"", ""dijon mustard"", ""worcestershire sauce"", ""salt"", ""fresh lemon juice"", ""olive oil"", ""romaine lettuce"", ""parmesan cheese"", ""garlic-flavored croutons""]",13
3,carrot cake,45,4,"[""mix all cake ingredients together and put in a 9x13-inch pan"", ""bake at 350f for 45 minutes or until cake tester comes out clean"", ""cool"", ""frosting: cream together cream cheese , butter , powdered sugar and vanilla""]","[""carrots"", ""sugar"", ""salad oil"", ""eggs"", ""flour"", ""baking soda"", ""cinnamon"", ""salt"", ""nuts"", ""cream cheese"", ""butter"", ""powdered sugar"", ""vanilla""]",13
4,cheesecake,105,8,"[""mix softened cream cheese and 1 / 2 cup sugar together"", ""blend eggs in , one at a time"", ""add 1 tsp vanilla to cream cheese mixture and blend thoroughly"", ""pour into pie shell and bake at 250 for 1 hour and 10 minutes"", ""with about 10 minutes left for the cheesecake in the oven , mix sour cream , 1 / 4 cup sugar , and 1 teaspoon vanilla in bowl"", ""when cheesecake is done in oven , let set for about 5 minutes then smooth sour cream mixture over the top of the baked pie"", ""bake for an additional 10 minutes at 250"", ""cool and enjoy !""]","[""graham cracker crust"", ""cream cheese"", ""sugar"", ""eggs"", ""vanilla"", ""sour cream""]",6
5,chicken curry,75,8,"[""brown chicken in non-stick skillet"", ""add spice mixture"", ""add chicken broth"", ""bring to boil"", ""reduce to low heat , and simmer 45 minutes to an hour"", ""mix cornstarch slurry , and add to mixture"", ""it should thicken into a nice gravy"", ""serve over rice or egg noodles""]","[""chicken breast"", ""ground ginger"", ""curry powder"", ""garlic powder"", ""onion powder"", ""salt"", ""chicken broth"", ""cornstarch""]",8
6,chicken wings,200,7,"[""cut chicken wings in 1 / 2 and brown in 1 tbsp"", ""butter"", ""place them in a large pan"", ""in a separate mixing bowl combine vinegar , mustard , brown sugar , worchesterschire sauce and soy sauce"", ""pour the sauce over the wings"", ""bake 3 to 4 hours at 350 degrees"", ""you can usually buy the frozen mini wings that are great and taste just as good""]","[""ketchup"", ""vinegar"", ""mustard"", ""brown sugar"", ""worcestershire sauce"", ""soy sauce""]",6
7,chocolate cake,45,2,"[""mix all ingredients in a mixer until smooth"", ""bake 350 for 35-40 minutes""]","[""sugar"", ""flour"", ""salt"", ""baking soda"", ""cocoa"", ""miracle whip"", ""water"", ""egg"", ""vanilla""]",9
8,club sandwich,10,8,"[""spread mayonnaise on one side of a piece of toast"", ""add layer of american cheese , ham , two slices of tomato , two leaves of lettuce , and two pieces of bacon"", ""spread mayonnaise on second piece of toast and place on top , mayo side down"", ""spread mayonnaise on top of that second piece of toast"", ""layer monterey jack cheese , the rest of the tomatoes , lettuce , turkey and bacon on top"", ""spread mayonnaise on third piece of toast and place on the stack mayo side down"", ""slice the sandwich in quarters diagonally"", ""skewers or long toothpicks may be used to hold all the layers together""]","[""bread"", ""mayonnaise"", ""american cheese"", ""ham"", ""tomatoes"", ""lettuce"", ""crisp bacon"", ""monterey jack cheese"", ""deli turkey""]",9
9,crab cakes,100,9,"[""in bowl , mix together 3 / 4 cup of the panko , bell pepper , shallots , parsley , lemon juice , sherry , cream , egg , salt , pepper , tabasco , celery salt and paprika"", ""combine thoroughly"", ""add crab and mix well"", ""shape into 8 to 10 patties and coat with remaining panko"", ""refrigerate until chilled , about 1 hour"", ""in skillet heat butter& / or oil over medium heat"", ""when nice and hot add crab cakes"", ""sear until coating is golden brown and lightly crispy , about 3 to 4 minutes on each side"", ""add more oil or butter as needed to the pan to prevent the cakes from sticking""]","[""crabmeat"", ""panko breadcrumbs"", ""red bell peppers"", ""shallots"", ""parsley"", ""lemon juice"", ""dry sherry"", ""heavy cream"", ""egg"", ""salt"", ""white pepper"", ""tabasco sauce"", ""celery salt"", ""paprika"", ""butter""]",15
